Pre-computing partition stats for n=1..1000...

N     | Type       | Detector Value       | Status
-------------------------------------------------------
2     | PRIME      | 0                    | OK
3     | PRIME      | 0                    | OK
4     | Comp       | 15                   | OK
5     | PRIME      | 0                    | OK
6     | Comp       | 85                   | OK
7     | PRIME      | 0                    | OK
8     | Comp       | 225                  | OK
9     | Comp       | 40                   | OK
10    | Comp       | 609                  | OK
11    | PRIME      | 0                    | OK
12    | Comp       | 1505                 | OK
13    | PRIME      | 0                    | OK
14    | Comp       | 3510                 | OK
15    | Comp       | -64                  | OK
16    | Comp       | 6645                 | OK
17    | PRIME      | 0                    | OK
18    | Comp       | 14275                | OK
19    | PRIME      | 0                    | OK
20    | Comp       | 20979                | OK
21    | Comp       | 2720                 | OK
22    | Comp       | 40755                | OK
23    | PRIME      | 0                    | OK
24    | Comp       | 67025                | OK
25    | Comp       | -5160                | OK
26    | Comp       | 99855                | OK
27    | Comp       | 18880                | OK
28    | Comp       | 139950               | OK
29    | PRIME      | 0                    | OK
30    | Comp       | 230730               | OK
31    | PRIME      | 0                    | OK
32    | Comp       | 293085               | OK
33    | Comp       | 70000                | OK
34    | Comp       | 413820               | OK
35    | Comp       | -35136               | OK
36    | Comp       | 654270               | OK
37    | PRIME      | 0                    | OK
38    | Comp       | 741825               | OK
39    | Comp       | 192640               | OK
40    | Comp       | 937335               | OK
41    | PRIME      | 0                    | OK
42    | Comp       | 1465520              | OK
43    | PRIME      | 0                    | OK
44    | Comp       | 1646775              | OK
45    | Comp       | 380576               | OK
46    | Comp       | 2008050              | OK
47    | PRIME      | 0                    | OK
48    | Comp       | 3127825              | OK
49    | Comp       | -77280               | OK
50    | Comp       | 3029859              | OK
51    | Comp       | 896640               | OK
52    | Comp       | 4001865              | OK
53    | PRIME      | 0                    | OK
54    | Comp       | 5657050              | OK
55    | Comp       | -48000               | OK
56    | Comp       | 5663790              | OK
57    | Comp       | 1660560              | OK
58    | Comp       | 6656475              | OK
59    | PRIME      | 0                    | OK
60    | Comp       | 10463474             | OK
61    | PRIME      | 0                    | OK
62    | Comp       | 9381240              | OK
63    | Comp       | 2497600              | OK
64    | Comp       | 11698605             | OK
65    | Comp       | 87696                | OK
66    | Comp       | 16353120             | OK
67    | PRIME      | 0                    | OK
68    | Comp       | 16339050             | OK
69    | Comp       | 4690400              | OK
70    | Comp       | 17219388             | OK
71    | PRIME      | 0                    | OK
72    | Comp       | 26957840             | OK
73    | PRIME      | 0                    | OK
74    | Comp       | 23241465             | OK
75    | Comp       | 7811776              | OK
76    | Comp       | 29116605             | OK
77    | Comp       | -652320              | OK
78    | Comp       | 39201050             | OK
79    | PRIME      | 0                    | OK
80    | Comp       | 37884735             | OK
81    | Comp       | 10537360             | OK
82    | Comp       | 39271470             | OK
83    | PRIME      | 0                    | OK
84    | Comp       | 61301520             | OK
85    | Comp       | 1324224              | OK
86    | Comp       | 50072715             | OK
87    | Comp       | 16119040             | OK
88    | Comp       | 60879975             | OK
89    | PRIME      | 0                    | OK
90    | Comp       | 82962231             | OK
91    | Comp       | -893760              | OK
92    | Comp       | 78082650             | OK
93    | Comp       | 22902400             | OK
94    | Comp       | 78777300             | OK
95    | Comp       | 2894400              | OK
96    | Comp       | 123040785            | OK
97    | PRIME      | 0                    | OK
98    | Comp       | 96442650             | OK
99    | Comp       | 29767360             | OK
100   | Comp       | 122819244            | OK
101   | PRIME      | 0                    | OK
102   | Comp       | 157376970            | OK
103   | PRIME      | 0                    | OK
104   | Comp       | 144665325            | OK
105   | Comp       | 47892160             | OK
106   | Comp       | 145115685            | OK
107   | PRIME      | 0                    | OK
108   | Comp       | 226847250            | OK
109   | PRIME      | 0                    | OK
110   | Comp       | 179501238            | OK
111   | Comp       | 57766080             | OK
112   | Comp       | 211298670            | OK
113   | PRIME      | 0                    | OK
114   | Comp       | 278903600            | OK
115   | Comp       | 9742656              | OK
116   | Comp       | 256332645            | OK
117   | Comp       | 72609600             | OK
118   | Comp       | 250092375            | OK
119   | Comp       | -345600              | OK
120   | Comp       | 401401650            | OK
121   | Comp       | -2184600             | OK
122   | Comp       | 296143155            | OK
123   | Comp       | 98436800             | OK
124   | Comp       | 360369240            | OK
125   | Comp       | 16043040             | OK
126   | Comp       | 462181670            | OK
127   | PRIME      | 0                    | OK
128   | Comp       | 421166925            | OK
129   | Comp       | 125953520            | OK
130   | Comp       | 423474240            | OK
131   | PRIME      | 0                    | OK
132   | Comp       | 639592240            | OK
133   | Comp       | 1216800              | OK
134   | Comp       | 476314245            | OK
135   | Comp       | 179684480            | OK
136   | Comp       | 574643790            | OK
137   | PRIME      | 0                    | OK
138   | Comp       | 742030800            | OK
139   | PRIME      | 0                    | OK
140   | Comp       | 695942604            | OK
141   | Comp       | 199345600            | OK
142   | Comp       | 638755110            | OK
143   | Comp       | -7761600             | OK
144   | Comp       | 996988100            | OK
145   | Comp       | 37842000             | OK
146   | Comp       | 735114150            | OK
147   | Comp       | 251472960            | OK
148   | Comp       | 887551275            | OK
149   | PRIME      | 0                    | OK
150   | Comp       | 1173567535           | OK
151   | PRIME      | 0                    | OK
152   | Comp       | 1014871725           | OK
153   | Comp       | 297632400            | OK
154   | Comp       | 959714160            | OK
155   | Comp       | 55123200             | OK
156   | Comp       | 1508422370           | OK
157   | PRIME      | 0                    | OK
158   | Comp       | 1095857100           | OK
159   | Comp       | 369794880            | OK
160   | Comp       | 1375080399           | OK
161   | Comp       | 10042560             | OK
162   | Comp       | 1674724150           | OK
163   | PRIME      | 0                    | OK
164   | Comp       | 1495205460           | OK
165   | Comp       | 513205152            | OK
166   | Comp       | 1406396145           | OK
167   | PRIME      | 0                    | OK
168   | Comp       | 2219592400           | OK
169   | Comp       | -7261800             | OK
170   | Comp       | 1667567898           | OK
171   | Comp       | 530942720            | OK
172   | Comp       | 1903968495           | OK
173   | PRIME      | 0                    | OK
174   | Comp       | 2417734650           | OK
175   | Comp       | 127184064            | OK
176   | Comp       | 2128416615           | OK
177   | Comp       | 640735280            | OK
178   | Comp       | 2000448450           | OK
179   | PRIME      | 0                    | OK
180   | Comp       | 3244822385           | OK
181   | PRIME      | 0                    | OK
182   | Comp       | 2244348540           | OK
183   | Comp       | 759872000            | OK
184   | Comp       | 2686748250           | OK
185   | Comp       | 146455344            | OK
186   | Comp       | 3392851520           | OK
187   | Comp       | -16974720            | OK
188   | Comp       | 2988612900           | OK
189   | Comp       | 924481600            | OK
190   | Comp       | 2936778690           | OK
191   | PRIME      | 0                    | OK
192   | Comp       | 4369919505           | OK
193   | PRIME      | 0                    | OK
194   | Comp       | 3088146600           | OK
195   | Comp       | 1222376512           | OK
196   | Comp       | 3720522945           | OK
197   | PRIME      | 0                    | OK
198   | Comp       | 4637597475           | OK
199   | PRIME      | 0                    | OK
200   | Comp       | 4314735810           | OK
201   | Comp       | 1227004240           | OK
202   | Comp       | 3785968425           | OK
203   | Comp       | 52920000             | OK
204   | Comp       | 5936765730           | OK
205   | Comp       | 255410400            | OK
206   | Comp       | 4179266910           | OK
207   | Comp       | 1425544640           | OK
208   | Comp       | 4979356725           | OK
209   | Comp       | -21762000            | OK
210   | Comp       | 6591499968           | OK
211   | PRIME      | 0                    | OK
212   | Comp       | 5489990055           | OK
213   | Comp       | 1649104800           | OK
214   | Comp       | 5063858235           | OK
215   | Comp       | 329890176            | OK
216   | Comp       | 7976102450           | OK
217   | Comp       | 80912640             | OK
218   | Comp       | 5559060375           | OK
219   | Comp       | 1899787200           | OK
220   | Comp       | 6957655278           | OK
221   | Comp       | -35259840            | OK
222   | Comp       | 8321263370           | OK
223   | PRIME      | 0                    | OK
224   | Comp       | 7353162990           | OK
225   | Comp       | 2589417536           | OK
226   | Comp       | 6665622180           | OK
227   | PRIME      | 0                    | OK
228   | Comp       | 10453391200          | OK
229   | PRIME      | 0                    | OK
230   | Comp       | 7743489300           | OK
231   | Comp       | 2586016640           | OK
232   | Comp       | 8713070025           | OK
233   | PRIME      | 0                    | OK
234   | Comp       | 10836154805          | OK
235   | Comp       | 530335104            | OK
236   | Comp       | 9440348715           | OK
237   | Comp       | 2839653440           | OK
238   | Comp       | 8744280300           | OK
239   | PRIME      | 0                    | OK
240   | Comp       | 14167400306          | OK
241   | PRIME      | 0                    | OK
242   | Comp       | 9379906965           | OK
243   | Comp       | 3248526400           | OK
244   | Comp       | 11171404125          | OK
245   | Comp       | 831151584            | OK
246   | Comp       | 13989266970          | OK
247   | Comp       | -48464640            | OK
248   | Comp       | 12213293400          | OK
249   | Comp       | 3649974160           | OK
250   | Comp       | 11811715734          | OK
251   | PRIME      | 0                    | OK
252   | Comp       | 17553549950          | OK
253   | Comp       | -26479200            | OK
254   | Comp       | 12000653280          | OK
255   | Comp       | 4874728320           | OK
256   | Comp       | 14309927565          | OK
257   | PRIME      | 0                    | OK
258   | Comp       | 17797920800          | OK
259   | Comp       | 235350720            | OK
260   | Comp       | 16246247724          | OK
261   | Comp       | 4683249280           | OK
262   | Comp       | 14027178165          | OK
263   | PRIME      | 0                    | OK
264   | Comp       | 22103062800          | OK
265   | Comp       | 1001450736           | OK
266   | Comp       | 15346499760          | OK
267   | Comp       | 5202246720           | OK
268   | Comp       | 17937193425          | OK
269   | PRIME      | 0                    | OK
270   | Comp       | 23498006100          | OK
271   | PRIME      | 0                    | OK
272   | Comp       | 19408631670          | OK
273   | Comp       | 6080356800           | OK
274   | Comp       | 17571575190          | OK
275   | Comp       | 1193892480           | OK
276   | Comp       | 27555622640          | OK
277   | PRIME      | 0                    | OK
278   | Comp       | 18900285075          | OK
279   | Comp       | 6584728320           | OK
280   | Comp       | 24212759820          | OK
281   | PRIME      | 0                    | OK
282   | Comp       | 27894148320          | OK
283   | PRIME      | 0                    | OK
284   | Comp       | 24030767070          | OK
285   | Comp       | 8621841760           | OK
286   | Comp       | 21710911110          | OK
287   | Comp       | 425617920            | OK
288   | Comp       | 34420622700          | OK
289   | Comp       | -49057920            | OK
290   | Comp       | 25016576760          | OK
291   | Comp       | 8049171200           | OK
292   | Comp       | 27643406700          | OK
