Computing M_k(n) for 0 <= n <= 1000 ...
    n |      type |                L4(n) | status
--------------------------------------------------
    2 |     prime |                    0 | OK
    3 |     prime |                    0 | OK
    4 | composite |              -282408 | OK
    5 |     prime |                    0 | OK
    6 | composite |             -2659680 | OK
    7 |     prime |                    0 | OK
    8 | composite |             -8426160 | OK
    9 | composite |             -5311872 | OK
   10 | composite |            -21688800 | OK
   11 |     prime |                    0 | OK
   12 | composite |            -79601760 | OK
   13 |     prime |                    0 | OK
   14 | composite |            -96780096 | OK
   15 | composite |            -74880000 | OK
   16 | composite |           -237300960 | OK
   17 |     prime |                    0 | OK
   18 | composite |           -482539680 | OK
   19 |     prime |                    0 | OK
   20 | composite |           -968209200 | OK
   21 | composite |           -170472960 | OK
   22 | composite |          -1286931360 | OK
   23 |     prime |                    0 | OK
   24 | composite |          -3278721600 | OK
   25 | composite |           -550032000 | OK
   26 | composite |          -4983582240 | OK
   27 | composite |            517155840 | OK
   28 | composite |         -10751509440 | OK
   29 |     prime |                    0 | OK
   30 | composite |         -18892612800 | OK
   31 |     prime |                    0 | OK
   32 | composite |         -33525213120 | OK
   33 | composite |           4796225280 | OK
   34 | composite |         -56265008256 | OK
   35 | composite |          -6333465600 | OK
   36 | composite |         -89955151560 | OK
   37 |     prime |                    0 | OK
   38 | composite |        -156549788640 | OK
   39 | composite |          17750992896 | OK
   40 | composite |        -256445565600 | OK
   41 |     prime |                    0 | OK
   42 | composite |        -383585610240 | OK
   43 |     prime |                    0 | OK
   44 | composite |        -579766895136 | OK
   45 | composite |          28761868800 | OK
   46 | composite |        -891759422400 | OK
   47 |     prime |                    0 | OK
   48 | composite |       -1250138563200 | OK
   49 | composite |         -27886591488 | OK
   50 | composite |       -1899601956000 | OK
   51 | composite |          74370631680 | OK
   52 | composite |       -2592381508080 | OK
   53 |     prime |                    0 | OK
   54 | composite |       -3735251755200 | OK
   55 | composite |           1684531200 | OK
   56 | composite |       -5128524616320 | OK
   57 | composite |          67947137280 | OK
   58 | composite |       -7043646156960 | OK
   59 |     prime |                    0 | OK
   60 | composite |       -9261226900800 | OK
   61 |     prime |                    0 | OK
   62 | composite |      -12652368410880 | OK
   63 | composite |        -312006159360 | OK
   64 | composite |      -16394461054848 | OK
   65 | composite |         136758585600 | OK
   66 | composite |      -22272637685760 | OK
   67 |     prime |                    0 | OK
   68 | composite |      -27634965961680 | OK
   69 | composite |        -680446001664 | OK
   70 | composite |      -36442461417600 | OK
   71 |     prime |                    0 | OK
   72 | composite |      -47353427437680 | OK
   73 |     prime |                    0 | OK
   74 | composite |      -58834056074976 | OK
   75 | composite |       -1601276544000 | OK
   76 | composite |      -72620863926240 | OK
   77 | composite |        -514016616960 | OK
   78 | composite |      -96139742811840 | OK
   79 |     prime |                    0 | OK
   80 | composite |     -112892869454400 | OK
   81 | composite |       -6090877658880 | OK
   82 | composite |     -142068079487040 | OK
   83 |     prime |                    0 | OK
   84 | composite |     -180880250777856 | OK
   85 | composite |        1769966668800 | OK
   86 | composite |     -213384216719520 | OK
   87 | composite |      -12311414599680 | OK
   88 | composite |     -257713978441920 | OK
   89 |     prime |                    0 | OK
   90 | composite |     -330279816794400 | OK
   91 | composite |        -757413995520 | OK
   92 | composite |     -374762066644800 | OK
   93 | composite |      -24814186076160 | OK
   94 | composite |     -454553163313536 | OK
   95 | composite |        4218741273600 | OK
   96 | composite |     -573400474778880 | OK
   97 |     prime |                    0 | OK
   98 | composite |     -647551343436480 | OK
   99 | composite |      -49777673831424 | OK
  100 | composite |     -757531419567000 | OK
  101 |     prime |                    0 | OK
  102 | composite |     -966863300034240 | OK
  103 |     prime |                    0 | OK
  104 | composite |    -1065210046336800 | OK
  105 | composite |      -74903210726400 | OK
  106 | composite |    -1254187177008480 | OK
  107 |     prime |                    0 | OK
  108 | composite |    -1571360048233920 | OK
  109 |     prime |                    0 | OK
  110 | composite |    -1706510030702400 | OK
  111 | composite |     -142296590730240 | OK
  112 | composite |    -1990123311939840 | OK
  113 |     prime |                    0 | OK
  114 | composite |    -2486782341158400 | OK
  115 | composite |       16105139635200 | OK
  116 | composite |    -2671260775086960 | OK
  117 | composite |     -240770275200000 | OK
  118 | composite |    -3085878859141920 | OK
  119 | composite |        2503354097664 | OK
  120 | composite |    -3828681873763200 | OK
  121 | composite |       -5136429091200 | OK
  122 | composite |    -4078488652832160 | OK
  123 | composite |     -373211055866880 | OK
  124 | composite |    -4678386500933376 | OK
  125 | composite |       27186719040000 | OK
  126 | composite |    -5791331533296960 | OK
  127 |     prime |                    0 | OK
  128 | composite |    -6108055068798720 | OK
  129 | composite |     -578770851504384 | OK
  130 | composite |    -6909701593267200 | OK
  131 |     prime |                    0 | OK
  132 | composite |    -8602894477457280 | OK
  133 | composite |       10385326748160 | OK
  134 | composite |    -8920344107401056 | OK
  135 | composite |     -844913149286400 | OK
  136 | composite |   -10138419572289120 | OK
  137 |     prime |                    0 | OK
  138 | composite |   -12426063247664640 | OK
  139 |     prime |                    0 | OK
  140 | composite |   -12862062984758400 | OK
  141 | composite |    -1297898287948800 | OK
  142 | composite |   -14446952106189120 | OK
  143 | composite |      -25305643883520 | OK
  144 | composite |   -17873271419828832 | OK
  145 | composite |       60820446086400 | OK
  146 | composite |   -18193567873147200 | OK
  147 | composite |    -1858172132920320 | OK
  148 | composite |   -20514776898074160 | OK
  149 |     prime |                    0 | OK
  150 | composite |   -24910984742868000 | OK
  151 |     prime |                    0 | OK
  152 | composite |   -25602348663662400 | OK
  153 | composite |    -2707520212350720 | OK
  154 | composite |   -28303315638968832 | OK
  155 | composite |       80346600345600 | OK
  156 | composite |   -34934321583120960 | OK
  157 |     prime |                    0 | OK
  158 | composite |   -35001739067218560 | OK
  159 | composite |    -3787143177452544 | OK
  160 | composite |   -39138106589366400 | OK
  161 | composite |       61985031736320 | OK
  162 | composite |   -47404848895905600 | OK
  163 |     prime |                    0 | OK
  164 | composite |   -48122702756641296 | OK
  165 | composite |    -5203104132441600 | OK
  166 | composite |   -52648011395988960 | OK
  167 |     prime |                    0 | OK
  168 | composite |   -64705157248273920 | OK
  169 | composite |      -33975948220032 | OK
  170 | composite |   -64023213424939200 | OK
  171 | composite |    -7186154997288960 | OK
  172 | composite |   -71394564415537440 | OK
  173 |     prime |                    0 | OK
  174 | composite |   -85811393613009600 | OK
  175 | composite |      218520462720000 | OK
  176 | composite |   -86361701197749120 | OK
  177 | composite |    -9699498329160960 | OK
  178 | composite |   -93630307669778880 | OK
  179 |     prime |                    0 | OK
  180 | composite |  -115023517746505200 | OK
  181 |     prime |                    0 | OK
  182 | composite |  -112375564826878080 | OK
  183 | composite |   -12960724437688320 | OK
  184 | composite |  -124586724009648000 | OK
  185 | composite |       68212429689600 | OK
  186 | composite |  -149124941852866560 | OK
  187 | composite |      -84245829212160 | OK
  188 | composite |  -148884876519926400 | OK
  189 | composite |   -16903312946150400 | OK
  190 | composite |  -160203667086206400 | OK
  191 |     prime |                    0 | OK
  192 | composite |  -196430289632156160 | OK
  193 |     prime |                    0 | OK
  194 | composite |  -190121234078958336 | OK
  195 | composite |   -22612175703936000 | OK
  196 | composite |  -209723196972230760 | OK
  197 |     prime |                    0 | OK
  198 | composite |  -250111011110194080 | OK
  199 |     prime |                    0 | OK
  200 | composite |  -247891956477858000 | OK
  201 | composite |   -29141980119141120 | OK
  202 | composite |  -264963142240485600 | OK
  203 | composite |      366865818762240 | OK
  204 | composite |  -324651335856474816 | OK
  205 | composite |     -190373177971200 | OK
  206 | composite |  -311228051933897280 | OK
  207 | composite |   -37429321487201280 | OK
  208 | composite |  -342353466854817600 | OK
  209 | composite |     -118729984032000 | OK
  210 | composite |  -406450470875904000 | OK
  211 |     prime |                    0 | OK
  212 | composite |  -400464555332157360 | OK
  213 | composite |   -47911828348823040 | OK
  214 | composite |  -425383671756417696 | OK
  215 | composite |     -509658447513600 | OK
  216 | composite |  -520084545738537600 | OK
  217 | composite |      581834213560320 | OK
  218 | composite |  -495100559620703520 | OK
  219 | composite |   -60743567022142464 | OK
  220 | composite |  -543813536434660800 | OK
  221 | composite |     -272191344122880 | OK
  222 | composite |  -642171223485570240 | OK
  223 |     prime |                    0 | OK
  224 | composite |  -628640557876670976 | OK
  225 | composite |   -77476650526080000 | OK
  226 | composite |  -665088924524115840 | OK
  227 |     prime |                    0 | OK
  228 | composite |  -813033889467891840 | OK
  229 |     prime |                    0 | OK
  230 | composite |  -769175257963017600 | OK
  231 | composite |   -94921360870533120 | OK
  232 | composite |  -838925535962349600 | OK
  233 |     prime |                    0 | OK
  234 | composite |  -990080685344840544 | OK
  235 | composite |    -1898771207424000 | OK
  236 | composite |  -965855044630415520 | OK
  237 | composite |  -118930561962900480 | OK
  238 | composite | -1014922508318490240 | OK
  239 |     prime |                    0 | OK
  240 | composite | -1242326772239788800 | OK
  241 |     prime |                    0 | OK
  242 | composite | -1163911302894019680 | OK
  243 | composite |  -146528227268398080 | OK
  244 | composite | -1269247756444634736 | OK
  245 | composite |    -1926841466995200 | OK
  246 | composite | -1492820660094240960 | OK
  247 | composite |     -443175367864320 | OK
  248 | composite | -1449020296810437120 | OK
  249 | composite |  -180674958950164224 | OK
  250 | composite | -1521892096987080000 | OK
  251 |     prime |                    0 | OK
  252 | composite | -1850733681753297600 | OK
  253 | composite |      -93111318136320 | OK
  254 | composite | -1728117605132706816 | OK
  255 | composite |  -226700449503897600 | OK
  256 | composite | -1879380993849515520 | OK
  257 |     prime |                    0 | OK
  258 | composite | -2206190035550730240 | OK
  259 | composite |     1769890096364544 | OK
  260 | composite | -2141148498387444000 | OK
  261 | composite |  -267902529859491840 | OK
  262 | composite | -2225859329598384480 | OK
  263 |     prime |                    0 | OK
  264 | composite | -2712350224987603200 | OK
  265 | composite |    -7879842071712000 | OK
  266 | composite | -2517414028124244480 | OK
  267 | composite |  -325463772645411840 | OK
  268 | composite | -2734736887662902880 | OK
  269 |     prime |                    0 | OK
  270 | composite | -3210538755817814400 | OK
  271 |     prime |                    0 | OK
